No,Title,Artist,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,GENRE,KATEGORI EMOSI,Cover_url
437,Lampu Kuning,Juicy Luicy,81,37,54,-8,40,3:59,79,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1-ikpvrc3VvstpLJRWhkCoT9PsuIzeVON
438,Tujuh Belas,Tulus,105,72,37,-6,67,4:15,56,Jazz,relaxed,https://lh3.googleusercontent.com/u/0/d/11sfObMb_pgVsjEtaTnePP4G3daNFmGDL
439,It's You (feat. Kaleb J),Sezairi,124,28,68,-8,29,4:14,82,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1qbI62vOGSzvmdz0lx-qWoDH59WugDweZ
440,One Only,Pamungkas,147,52,32,-6,12,4:18,22,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1TOipk1l71dsa-oi5ECeueC9QKAJcNbu8
441,Sialan,Adrian Khalif,142,58,59,-6,66,4:04,40,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1-XgLtyAoccGDH5beFZfAHLRI9gnFY175
442,"Berakhir di Aku - Original Soundtrack From ""Home Sweet Loan""",Idgitaf,140,26,53,-10,40,4:39,93,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1gDwEFwewpe-VPHcn9804Xo0wZ42_6C-j
443,Kita usahakan rumah itu,Sal Priadi,95,32,71,-13,30,3:31,80,Folk,relaxed,https://lh3.googleusercontent.com/u/0/d/1vxm00MpZ3aQD1_h3Pje9ahKyrC2KJVtd
444,Anti ∞ Hero,Mighfar Suganda,167,47,35,-8,8,3:32,18,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1xcLY8g4WdmyqdiuGPtiFPWxuH-BYw1vn
445,Never Mine,After Nourway,144,30,54,-14,51,5:11,83,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1t8n4glmsqsIhLaNugpiVaSLyI3l-21Ex
446,Bila Kau Tak Disampingku,Sheila On 7,120,67,71,-9,83,4:16,1,Rock,angry,https://lh3.googleusercontent.com/u/0/d/1jk_hkYhiep2CSzvp5gdmnhVjHKm8kICE
447,"Masa ini, Nanti, dan Masa Indah Lainnya",Nuca,83,40,19,-8,13,4:35,76,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1oW6fB-LZ-Ev6szFYNWVaaKfhA64RIh6J
448,Malapetaka,Juicy Luicy,120,65,64,-6,76,3:46,19,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1oAidhs-d9uu3rt5rVwvEeaEs_k7CePaw
449,Iqro',Raim Laode,130,63,53,-5,32,3:53,13,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1ZFKp307-j2cCKv-YRv07mPGP8XAh_j30
450,Hati-Hati di Jalan,Tulus,72,44,64,-11,76,4:02,70,Jazz,relaxed,https://lh3.googleusercontent.com/u/0/d/1rPcJ-38xu9JDrYPsQLhatqg9ykRqCwO4
